Region,Date,Temperature_C,Precipitation_mm,Humidity_percent,Min_Temperature_C,Max_Temperature_C,Wind_Speed_kmh,Atmospheric_Pressure_hPa,Heat_Index_C,Year,Month,Day,DayOfYear,Temperature_Range,Comfort_Index,Season,Weather_Severity,Pressure_Category
Punjab,2024-03-22,32.1,0.0,48.7,27.2,35.7,12.0,995.3,34.2,2024,3,22,82,8.500000000000004,0,Spring,0,Low
Rajasthan,2024-03-22,42.0,0.0,15.0,28.8,51.2,20.4,983.2,42.0,2024,3,22,82,22.400000000000002,0,Spring,2,Low
Sikkim,2024-03-22,14.8,0.0,60.0,6.6,22.5,31.9,850.0,14.8,2024,3,22,82,15.9,0,Spring,1,Low
Tamil Nadu,2024-03-22,37.1,0.0,84.1,33.4,39.0,24.9,995.4,37.1,2024,3,22,82,5.600000000000001,0,Spring,1,Low
Telangana,2024-03-22,40.8,0.5,30.1,30.8,50.2,12.9,950.6,40.8,2024,3,22,82,19.400000000000002,0,Spring,2,Low
Tripura,2024-03-22,41.2,0.0,53.3,30.9,51.9,9.7,994.5,41.2,2024,3,22,82,21.0,0,Spring,2,Low
Uttar Pradesh,2024-03-22,42.7,1.0,34.9,35.1,51.9,16.5,989.0,42.7,2024,3,22,82,16.799999999999997,0,Spring,2,Low
Uttarakhand,2024-03-22,23.6,1.1,55.8,18.4,27.1,28.8,860.7,23.6,2024,3,22,82,8.700000000000003,1,Spring,0,Low
West Bengal,2024-03-22,36.1,0.0,56.8,32.7,37.1,16.1,1015.5,36.1,2024,3,22,82,4.399999999999999,0,Spring,1,Normal
Andaman and Nicobar Islands,2024-03-22,30.0,0.0,91.5,25.4,34.4,22.4,1006.3,34.52777777777778,2024,3,22,82,9.0,0,Spring,0,Normal
Chandigarh,2024-03-22,40.4,0.3,27.7,36.5,44.0,14.4,974.2,40.4,2024,3,22,82,7.5,0,Spring,2,Low
Dadra and Nagar Haveli and Daman and Diu,2024-03-22,35.9,0.7,62.7,31.2,37.5,16.9,1006.8,35.9,2024,3,22,82,6.300000000000001,0,Spring,1,Normal
Delhi,2024-03-22,41.3,0.0,23.1,32.9,51.2,11.0,994.2,41.3,2024,3,22,82,18.300000000000004,0,Spring,2,Low
Jammu and Kashmir,2024-03-22,16.8,0.0,50.1,7.9,25.8,35.6,850.0,16.8,2024,3,22,82,17.9,0,Spring,1,Low
Ladakh,2024-03-22,-2.3,0.0,15.0,-12.2,9.2,27.4,850.0,-2.3,2024,3,22,82,21.4,0,Spring,0,Low
Lakshadweep,2024-03-22,28.3,0.0,97.3,24.8,32.8,29.2,1021.9,36.8,2024,3,22,82,7.9999999999999964,0,Spring,0,High
Puducherry,2024-03-22,33.6,0.5,63.0,33.6,38.4,21.3,1023.8,33.6,2024,3,22,82,4.799999999999997,0,Spring,0,High
Andhra Pradesh,2024-03-23,36.9,0.0,37.2,27.2,43.6,13.8,991.1,36.9,2024,3,23,83,16.400000000000002,0,Spring,1,Low
Arunachal Pradesh,2024-03-23,17.3,0.5,62.6,8.8,26.4,25.9,850.0,17.3,2024,3,23,83,17.599999999999998,0,Spring,0,Low
Assam,2024-03-23,37.1,0.1,53.7,31.5,39.9,16.2,996.0,37.1,2024,3,23,83,8.399999999999999,0,Spring,1,Low
Bihar,2024-03-23,36.1,0.0,46.3,29.7,45.6,11.4,999.7,36.1,2024,3,23,83,15.900000000000002,0,Spring,1,Low
Chhattisgarh,2024-03-23,42.5,0.6,32.0,35.6,48.9,19.5,972.3,42.5,2024,3,23,83,13.299999999999997,0,Spring,2,Low
Goa,2024-03-23,25.7,0.2,98.0,22.3,28.0,16.7,1002.2,25.7,2024,3,23,83,5.699999999999999,0,Spring,0,Normal
Gujarat,2024-03-23,45.6,0.4,15.0,41.2,52.5,16.0,997.0,45.6,2024,3,23,83,11.299999999999997,0,Spring,2,Low
Haryana,2024-03-23,42.4,0.0,15.0,34.9,50.1,14.2,992.2,42.4,2024,3,23,83,15.200000000000003,0,Spring,2,Low
Himachal Pradesh,2024-03-23,16.2,0.7,37.6,12.4,19.7,32.2,850.0,16.2,2024,3,23,83,7.299999999999999,0,Spring,1,Low
Jharkhand,2024-03-23,33.7,0.7,66.1,29.0,38.0,14.2,983.8,33.7,2024,3,23,83,9.0,0,Spring,0,Low
Karnataka,2024-03-23,21.9,0.2,62.8,18.3,23.9,20.6,921.4,21.9,2024,3,23,83,5.599999999999998,1,Spring,0,Low
Kerala,2024-03-23,27.0,0.0,98.0,24.3,31.4,23.6,1014.4,32.7,2024,3,23,83,7.099999999999998,0,Spring,0,Normal
Madhya Pradesh,2024-03-23,38.8,5.3,46.3,33.4,45.5,6.4,954.6,38.8,2024,3,23,83,12.100000000000001,0,Spring,1,Low
Maharashtra,2024-03-23,31.1,0.7,26.3,20.9,38.8,17.4,951.8,31.1,2024,3,23,83,17.9,0,Spring,0,Low
Manipur,2024-03-23,29.0,1.2,55.1,24.6,32.3,16.0,912.4,30.3,2024,3,23,83,7.699999999999996,0,Spring,0,Low
Meghalaya,2024-03-23,29.4,0.0,70.8,24.8,38.8,7.4,857.3,33.9,2024,3,23,83,13.999999999999996,0,Spring,0,Low
Mizoram,2024-03-23,24.3,39.3,63.4,18.3,31.5,11.2,877.3,24.3,2024,3,23,83,13.2,1,Spring,0,Low
Nagaland,2024-03-23,21.8,0.0,77.7,14.5,26.1,10.6,860.0,21.8,2024,3,23,83,11.600000000000001,0,Spring,0,Low
Odisha,2024-03-23,31.7,1.4,65.5,25.9,35.2,15.0,998.1,31.7,2024,3,23,83,9.300000000000004,0,Spring,0,Low
Punjab,2024-03-23,41.4,0.0,34.0,36.0,48.3,6.9,990.6,41.4,2024,3,23,83,12.299999999999997,0,Spring,2,Low
Rajasthan,2024-03-23,52.5,0.0,15.0,42.9,63.4,22.1,991.7,52.5,2024,3,23,83,20.5,0,Spring,2,Low
Sikkim,2024-03-23,14.4,0.0,51.0,5.7,19.8,29.3,850.0,14.4,2024,3,23,83,14.100000000000001,0,Spring,0,Low
Tamil Nadu,2024-03-23,37.2,0.2,91.6,31.4,42.5,21.5,994.2,38.87555555555556,2024,3,23,83,11.100000000000001,0,Spring,1,Low
Telangana,2024-03-23,36.5,16.8,15.1,27.2,47.2,9.0,944.9,36.5,2024,3,23,83,20.000000000000004,0,Spring,1,Low
Tripura,2024-03-23,32.8,0.0,38.1,26.8,36.9,9.5,1009.8,32.8,2024,3,23,83,10.099999999999998,0,Spring,0,Normal
Uttar Pradesh,2024-03-23,39.7,1.4,40.9,32.3,50.5,12.8,995.4,39.7,2024,3,23,83,18.200000000000003,0,Spring,1,Low
Uttarakhand,2024-03-23,22.2,0.0,42.6,15.6,29.2,37.0,850.0,22.2,2024,3,23,83,13.6,1,Spring,1,Low
West Bengal,2024-03-23,33.1,0.0,66.4,29.0,39.0,17.2,1013.0,33.1,2024,3,23,83,10.0,0,Spring,0,Normal
Andaman and Nicobar Islands,2024-03-23,26.1,0.0,91.5,23.2,30.6,26.3,1000.2,26.1,2024,3,23,83,7.400000000000002,0,Spring,0,Normal
Chandigarh,2024-03-23,37.1,0.6,42.3,29.5,48.6,7.6,969.4,37.1,2024,3,23,83,19.1,0,Spring,1,Low
Dadra and Nagar Haveli and Daman and Diu,2024-03-23,31.6,13.8,90.8,27.4,37.9,17.4,998.5,35.29333333333334,2024,3,23,83,10.5,0,Spring,0,Low
Delhi,2024-03-23,42.6,0.0,27.0,33.2,48.2,10.6,992.2,42.6,2024,3,23,83,15.0,0,Spring,2,Low
Jammu and Kashmir,2024-03-23,20.3,0.0,54.5,13.7,26.1,28.1,850.0,20.3,2024,3,23,83,12.400000000000002,1,Spring,0,Low
Ladakh,2024-03-23,5.3,0.0,15.0,-12.9,19.6,21.5,850.0,5.3,2024,3,23,83,32.5,0,Spring,0,Low
Lakshadweep,2024-03-23,25.9,0.0,91.0,22.0,29.5,18.1,1009.6,25.9,2024,3,23,83,7.5,0,Spring,0,Normal
Puducherry,2024-03-23,38.9,9.5,70.3,33.4,40.3,19.6,1017.2,38.9,2024,3,23,83,6.899999999999999,0,Spring,1,Normal
Andhra Pradesh,2024-03-24,33.5,0.0,53.0,25.9,40.8,12.7,997.7,38.2,2024,3,24,84,14.899999999999999,0,Spring,0,Low
Arunachal Pradesh,2024-03-24,12.7,0.0,64.4,9.6,15.0,34.0,850.0,12.7,2024,3,24,84,5.4,0,Spring,1,Low
Assam,2024-03-24,38.4,0.0,52.0,29.0,48.0,15.4,1000.8,38.4,2024,3,24,84,19.0,0,Spring,1,Normal
Bihar,2024-03-24,40.7,0.0,60.5,33.9,46.8,9.4,1018.4,40.7,2024,3,24,84,12.899999999999999,0,Spring,2,Normal
Chhattisgarh,2024-03-24,35.8,1.5,51.7,31.9,39.0,7.5,984.5,35.8,2024,3,24,84,7.100000000000001,0,Spring,1,Low
Goa,2024-03-24,32.2,0.0,60.1,29.9,35.6,14.3,1008.9,32.2,2024,3,24,84,5.700000000000003,0,Spring,0,Normal
Gujarat,2024-03-24,44.8,1.7,15.0,36.8,52.7,14.3,987.1,44.8,2024,3,24,84,15.900000000000006,0,Spring,2,Low
Haryana,2024-03-24,40.5,0.4,18.2,34.7,46.8,16.8,1000.5,40.5,2024,3,24,84,12.099999999999994,0,Spring,2,Normal
Himachal Pradesh,2024-03-24,12.9,0.3,52.3,2.7,22.0,37.2,850.0,12.9,2024,3,24,84,19.3,0,Spring,1,Low
Jharkhand,2024-03-24,35.2,0.0,53.5,28.9,41.7,12.5,977.6,35.2,2024,3,24,84,12.800000000000004,0,Spring,1,Low
Karnataka,2024-03-24,27.6,1.3,51.8,25.0,32.4,16.9,908.4,28.2,2024,3,24,84,7.399999999999999,1,Spring,0,Low
Kerala,2024-03-24,32.7,0.9,80.4,29.6,34.2,18.9,1003.3,33.06444444444443,2024,3,24,84,4.600000000000001,0,Spring,0,Normal
Madhya Pradesh,2024-03-24,38.3,0.0,32.5,28.7,45.3,16.7,956.9,38.3,2024,3,24,84,16.599999999999998,0,Spring,1,Low
Maharashtra,2024-03-24,32.4,0.2,37.4,26.5,38.4,7.8,938.9,32.4,2024,3,24,84,11.899999999999999,0,Spring,0,Low
Manipur,2024-03-24,26.3,0.6,56.6,22.9,29.4,16.4,926.8,26.3,2024,3,24,84,6.5,1,Spring,0,Low
Meghalaya,2024-03-24,22.1,0.0,61.2,14.9,28.4,14.2,876.6,22.1,2024,3,24,84,13.499999999999998,1,Spring,0,Low
Mizoram,2024-03-24,33.2,0.0,50.6,26.6,39.7,9.6,905.2,36.8,2024,3,24,84,13.100000000000001,0,Spring,0,Low
Nagaland,2024-03-24,27.3,0.9,60.3,20.2,35.2,1.5,867.5,28.5,2024,3,24,84,15.000000000000004,1,Spring,0,Low
Odisha,2024-03-24,37.7,0.0,39.5,33.2,43.0,19.6,993.2,37.7,2024,3,24,84,9.799999999999997,0,Spring,1,Low
Punjab,2024-03-24,40.2,1.2,28.5,33.9,41.2,13.4,982.5,40.2,2024,3,24,84,7.300000000000004,0,Spring,2,Low
Rajasthan,2024-03-24,44.3,0.4,15.0,36.8,50.4,14.0,978.1,44.3,2024,3,24,84,13.600000000000001,0,Spring,2,Low
Sikkim,2024-03-24,16.0,0.0,62.0,7.2,19.6,27.6,850.0,16.0,2024,3,24,84,12.400000000000002,0,Spring,0,Low
Tamil Nadu,2024-03-24,30.4,13.1,75.7,27.7,34.6,20.8,994.1,30.4,2024,3,24,84,6.900000000000002,0,Spring,0,Low
Telangana,2024-03-24,33.2,0.0,15.0,25.4,39.7,7.8,958.6,33.2,2024,3,24,84,14.300000000000004,0,Spring,0,Low
Tripura,2024-03-24,40.5,0.4,44.8,34.1,51.2,17.1,1010.2,40.5,2024,3,24,84,17.1,0,Spring,2,Normal
Uttar Pradesh,2024-03-24,37.8,0.0,44.9,33.7,46.1,6.6,991.2,37.8,2024,3,24,84,12.399999999999999,0,Spring,1,Low
Uttarakhand,2024-03-24,24.3,0.0,35.7,19.9,28.0,32.2,856.1,24.3,2024,3,24,84,8.100000000000001,0,Spring,1,Low
West Bengal,2024-03-24,34.0,0.0,59.0,25.1,36.2,15.5,1012.1,34.0,2024,3,24,84,11.100000000000001,0,Spring,0,Normal
Andaman and Nicobar Islands,2024-03-24,31.4,15.8,98.0,28.3,35.4,30.5,993.1,37.173333333333325,2024,3,24,84,7.099999999999998,0,Spring,1,Low
Chandigarh,2024-03-24,39.8,0.0,26.5,30.8,44.8,9.2,963.8,39.8,2024,3,24,84,13.999999999999996,0,Spring,1,Low
Dadra and Nagar Haveli and Daman and Diu,2024-03-24,33.1,40.7,84.7,26.8,36.5,18.2,992.2,34.4988888888889,2024,3,24,84,9.7,0,Spring,0,Low
Delhi,2024-03-24,39.6,0.0,28.9,33.9,43.6,12.7,982.7,39.6,2024,3,24,84,9.700000000000003,0,Spring,1,Low
Jammu and Kashmir,2024-03-24,16.4,0.0,54.3,8.7,24.6,34.2,850.0,16.4,2024,3,24,84,15.900000000000002,0,Spring,1,Low
Ladakh,2024-03-24,8.2,0.2,15.0,-2.8,15.5,17.2,850.0,8.2,2024,3,24,84,18.3,0,Spring,0,Low
Lakshadweep,2024-03-24,33.9,0.0,98.0,29.4,36.1,22.3,999.3,38.673333333333325,2024,3,24,84,6.700000000000003,0,Spring,0,Low
Puducherry,2024-03-24,32.9,3.0,88.4,27.5,37.8,17.4,1011.7,35.406666666666666,2024,3,24,84,10.299999999999997,0,Spring,0,Normal
Andhra Pradesh,2024-03-25,36.4,0.0,43.9,30.2,43.1,18.4,984.5,36.4,2024,3,25,85,12.900000000000002,0,Spring,1,Low
Arunachal Pradesh,2024-03-25,15.7,0.4,53.3,10.5,20.3,32.7,850.0,15.7,2024,3,25,85,9.8,0,Spring,1,Low
Assam,2024-03-25,29.9,0.5,64.9,27.7,35.5,10.0,1007.5,33.7,2024,3,25,85,7.800000000000001,0,Spring,0,Normal
Bihar,2024-03-25,39.8,1.4,47.7,37.7,43.4,3.8,1006.5,39.8,2024,3,25,85,5.699999999999996,0,Spring,1,Normal
Chhattisgarh,2024-03-25,40.5,0.0,28.1,33.4,48.2,14.4,981.6,40.5,2024,3,25,85,14.800000000000004,0,Spring,2,Low
Goa,2024-03-25,30.1,0.3,96.5,27.6,33.5,15.0,1017.6,35.976666666666674,2024,3,25,85,5.899999999999999,0,Spring,0,Normal
Gujarat,2024-03-25,35.5,0.2,15.0,21.2,51.7,13.9,1000.4,35.5,2024,3,25,85,30.500000000000004,0,Spring,1,Normal
Haryana,2024-03-25,50.4,0.0,15.0,42.7,58.1,13.7,985.6,50.4,2024,3,25,85,15.399999999999999,0,Spring,2,Low
Himachal Pradesh,2024-03-25,17.0,0.0,47.1,6.4,27.2,35.9,850.0,17.0,2024,3,25,85,20.799999999999997,0,Spring,1,Low
Jharkhand,2024-03-25,39.1,0.5,63.5,34.9,41.4,10.2,969.2,39.1,2024,3,25,85,6.5,0,Spring,1,Low
Karnataka,2024-03-25,28.5,0.0,51.7,23.8,36.0,22.2,913.6,29.2,2024,3,25,85,12.2,0,Spring,0,Low
Kerala,2024-03-25,36.1,8.9,72.0,30.4,44.7,23.4,1008.5,36.1,2024,3,25,85,14.300000000000004,0,Spring,1,Normal
Madhya Pradesh,2024-03-25,34.7,17.9,46.3,29.5,40.4,11.7,937.8,38.7,2024,3,25,85,10.899999999999999,0,Spring,0,Low
Maharashtra,2024-03-25,39.4,5.2,30.3,33.3,44.0,9.7,940.9,39.4,2024,3,25,85,10.700000000000003,0,Spring,1,Low
Manipur,2024-03-25,26.7,0.4,49.3,18.4,34.5,16.6,918.3,26.7,2024,3,25,85,16.1,1,Spring,0,Low
Meghalaya,2024-03-25,23.8,2.4,63.0,15.1,30.6,11.7,865.1,23.8,2024,3,25,85,15.500000000000002,1,Spring,0,Low
Mizoram,2024-03-25,27.3,0.0,70.2,24.3,32.9,9.9,902.0,29.5,2024,3,25,85,8.599999999999998,0,Spring,0,Low
Nagaland,2024-03-25,21.9,0.0,75.1,18.6,28.5,16.0,868.6,21.9,2024,3,25,85,9.899999999999999,0,Spring,0,Low
Odisha,2024-03-25,40.4,0.3,51.4,35.7,45.3,17.9,1004.0,40.4,2024,3,25,85,9.599999999999994,0,Spring,2,Normal
Punjab,2024-03-25,42.9,2.5,24.7,35.8,48.3,8.5,992.3,42.9,2024,3,25,85,12.5,0,Spring,2,Low
Rajasthan,2024-03-25,42.6,0.0,15.0,35.1,50.6,17.2,984.7,42.6,2024,3,25,85,15.5,0,Spring,2,Low
Sikkim,2024-03-25,19.7,0.0,57.0,14.7,24.7,33.1,850.0,19.7,2024,3,25,85,10.0,1,Spring,1,Low
Tamil Nadu,2024-03-25,33.3,24.6,78.2,30.3,37.9,17.7,985.0,33.3,2024,3,25,85,7.599999999999998,0,Spring,0,Low
Telangana,2024-03-25,39.2,1.0,15.0,34.3,44.4,13.2,956.8,39.2,2024,3,25,85,10.100000000000001,0,Spring,1,Low
Tripura,2024-03-25,39.3,0.0,69.4,31.4,44.7,10.2,999.0,39.3,2024,3,25,85,13.300000000000004,0,Spring,1,Low
Uttar Pradesh,2024-03-25,34.4,0.2,38.6,29.5,41.3,9.4,985.9,34.4,2024,3,25,85,11.799999999999997,0,Spring,0,Low
Uttarakhand,2024-03-25,20.7,0.6,47.0,14.6,30.0,32.8,859.5,20.7,2024,3,25,85,15.4,1,Spring,1,Low
West Bengal,2024-03-25,38.9,12.0,49.8,37.3,44.0,18.2,1003.4,38.9,2024,3,25,85,6.700000000000003,0,Spring,1,Normal
Andaman and Nicobar Islands,2024-03-25,30.7,1.3,77.7,30.7,31.2,17.8,1015.2,35.6,2024,3,25,85,0.5,0,Spring,0,Normal
Chandigarh,2024-03-25,33.0,1.7,44.3,27.1,40.0,7.8,963.1,34.8,2024,3,25,85,12.899999999999999,0,Spring,0,Low
Dadra and Nagar Haveli and Daman and Diu,2024-03-25,36.2,0.0,85.3,33.6,37.6,19.1,1021.9,36.52555555555555,2024,3,25,85,4.0,0,Spring,1,High
Delhi,2024-03-25,40.9,1.2,17.8,34.1,48.7,10.3,973.2,40.9,2024,3,25,85,14.600000000000001,0,Spring,2,Low
Jammu and Kashmir,2024-03-25,22.8,0.0,34.6,15.2,29.1,24.9,850.0,22.8,2024,3,25,85,13.900000000000002,0,Spring,0,Low
Ladakh,2024-03-25,-2.9,0.0,15.0,-15.3,11.8,22.0,850.0,-2.9,2024,3,25,85,27.1,0,Spring,0,Low
Lakshadweep,2024-03-25,22.2,1.2,98.0,17.6,25.4,17.9,1001.3,22.2,2024,3,25,85,7.799999999999997,0,Spring,0,Normal
Puducherry,2024-03-25,33.4,0.0,71.3,30.9,37.6,24.3,1033.0,33.4,2024,3,25,85,6.700000000000003,0,Spring,0,High
Andhra Pradesh,2024-03-26,30.4,0.0,62.2,24.2,35.6,20.2,1001.3,34.1,2024,3,26,86,11.400000000000002,0,Spring,0,Normal
Arunachal Pradesh,2024-03-26,14.8,0.1,49.6,2.0,25.9,30.8,850.0,14.8,2024,3,26,86,23.9,0,Spring,1,Low
Assam,2024-03-26,35.3,0.0,52.5,31.9,41.3,13.9,993.4,35.3,2024,3,26,86,9.399999999999999,0,Spring,1,Low
Bihar,2024-03-26,43.4,1.4,40.4,36.4,51.7,7.6,998.0,43.4,2024,3,26,86,15.300000000000004,0,Spring,2,Low
Chhattisgarh,2024-03-26,40.2,0.2,35.1,37.3,44.7,8.8,972.8,40.2,2024,3,26,86,7.400000000000006,0,Spring,2,Low
Goa,2024-03-26,20.3,0.4,98.0,15.5,23.3,20.4,1015.6,20.3,2024,3,26,86,7.800000000000001,0,Spring,0,Normal
Gujarat,2024-03-26,36.3,0.0,15.0,31.2,45.7,17.4,1010.2,36.3,2024,3,26,86,14.500000000000004,0,Spring,1,Normal
Haryana,2024-03-26,40.6,0.0,17.4,34.9,46.1,12.5,995.9,40.6,2024,3,26,86,11.200000000000003,0,Spring,2,Low
Himachal Pradesh,2024-03-26,16.0,14.5,62.4,8.0,26.3,35.5,850.0,16.0,2024,3,26,86,18.3,0,Spring,1,Low
Jharkhand,2024-03-26,37.6,0.9,41.9,33.9,43.6,19.0,980.8,37.6,2024,3,26,86,9.700000000000003,0,Spring,1,Low
Karnataka,2024-03-26,30.0,0.0,47.9,22.9,39.9,12.2,928.6,30.8,2024,3,26,86,17.0,0,Spring,0,Low
Kerala,2024-03-26,29.2,25.9,84.4,27.2,31.3,23.6,991.3,36.3,2024,3,26,86,4.100000000000001,0,Spring,0,Low
Madhya Pradesh,2024-03-26,36.2,0.8,42.6,32.0,39.3,15.0,956.4,40.5,2024,3,26,86,7.299999999999997,0,Spring,2,Low
Maharashtra,2024-03-26,27.3,0.0,29.4,20.8,31.0,16.4,937.9,27.3,2024,3,26,86,10.2,0,Spring,0,Low
Manipur,2024-03-26,30.9,0.0,59.3,25.5,36.8,7.7,915.1,34.4,2024,3,26,86,11.299999999999997,0,Spring,0,Low
Meghalaya,2024-03-26,23.3,0.2,54.2,17.5,29.7,11.0,871.0,23.3,2024,3,26,86,12.2,1,Spring,0,Low
Mizoram,2024-03-26,23.7,11.9,75.7,16.0,32.8,8.8,901.9,23.7,2024,3,26,86,16.799999999999997,0,Spring,0,Low
Nagaland,2024-03-26,26.6,1.5,72.5,22.5,30.0,10.9,863.9,26.6,2024,3,26,86,7.5,0,Spring,0,Low
Odisha,2024-03-26,39.0,0.0,58.7,33.4,45.0,20.0,1009.1,39.0,2024,3,26,86,11.600000000000001,0,Spring,1,Normal
Punjab,2024-03-26,39.4,0.6,34.1,32.7,47.3,9.7,982.2,39.4,2024,3,26,86,14.599999999999994,0,Spring,1,Low
Rajasthan,2024-03-26,45.1,0.0,15.0,37.7,55.3,19.0,993.3,45.1,2024,3,26,86,17.599999999999994,0,Spring,2,Low
Sikkim,2024-03-26,15.1,0.0,41.7,6.7,22.2,31.8,850.0,15.1,2024,3,26,86,15.5,0,Spring,1,Low
Tamil Nadu,2024-03-26,36.1,2.2,72.0,33.4,37.7,23.4,1002.3,36.1,2024,3,26,86,4.300000000000004,0,Spring,1,Normal
Telangana,2024-03-26,39.3,0.0,15.0,33.0,46.1,5.5,944.0,39.3,2024,3,26,86,13.100000000000001,0,Spring,1,Low
Tripura,2024-03-26,42.0,0.0,50.0,34.5,47.0,12.0,1018.0,42.0,2024,3,26,86,12.5,0,Spring,2,Normal
Uttar Pradesh,2024-03-26,44.2,6.1,33.4,38.1,46.7,11.8,994.9,44.2,2024,3,26,86,8.600000000000001,0,Spring,2,Low
Uttarakhand,2024-03-26,23.8,1.2,41.0,14.5,33.7,31.5,855.1,23.8,2024,3,26,86,19.200000000000003,1,Spring,1,Low
West Bengal,2024-03-26,37.1,0.8,56.2,30.9,44.6,20.8,1025.2,37.1,2024,3,26,86,13.700000000000003,0,Spring,1,High
Andaman and Nicobar Islands,2024-03-26,26.9,0.4,90.9,23.9,29.8,24.7,1004.1,26.9,2024,3,26,86,5.900000000000002,0,Spring,0,Normal
Chandigarh,2024-03-26,37.2,0.0,34.7,30.0,46.4,7.4,984.5,37.2,2024,3,26,86,16.4,0,Spring,1,Low
Dadra and Nagar Haveli and Daman and Diu,2024-03-26,33.3,0.4,79.2,27.2,39.6,18.0,1001.9,33.3,2024,3,26,86,12.400000000000002,0,Spring,0,Normal
Delhi,2024-03-26,41.4,0.9,22.0,33.6,47.8,16.4,994.1,41.4,2024,3,26,86,14.199999999999996,0,Spring,2,Low
Jammu and Kashmir,2024-03-26,15.1,2.4,54.7,8.6,24.7,27.5,850.0,15.1,2024,3,26,86,16.1,0,Spring,0,Low
Ladakh,2024-03-26,8.9,1.1,15.0,1.8,15.4,17.7,850.0,8.9,2024,3,26,86,13.6,0,Spring,0,Low
Lakshadweep,2024-03-26,23.8,1.2,93.4,20.6,25.9,21.8,1003.4,23.8,2024,3,26,86,5.299999999999997,0,Spring,0,Normal
Puducherry,2024-03-26,31.2,0.0,95.2,26.6,35.1,22.7,1014.3,36.275555555555556,2024,3,26,86,8.5,0,Spring,0,Normal
Andhra Pradesh,2024-03-27,28.9,0.0,66.6,24.3,33.0,20.4,994.9,31.9,2024,3,27,87,8.7,0,Spring,0,Low
Arunachal Pradesh,2024-03-27,16.5,0.9,63.1,8.8,21.4,35.0,850.0,16.5,2024,3,27,87,12.599999999999998,0,Spring,1,Low
Assam,2024-03-27,37.1,0.0,58.4,29.7,43.2,11.3,989.3,37.1,2024,3,27,87,13.500000000000004,0,Spring,1,Low
Bihar,2024-03-27,34.8,2.4,61.0,31.2,37.8,15.3,1012.6,34.8,2024,3,27,87,6.599999999999998,0,Spring,0,Normal
Chhattisgarh,2024-03-27,36.9,0.0,41.7,27.7,46.5,6.9,966.4,41.6,2024,3,27,87,18.8,0,Spring,2,Low
Goa,2024-03-27,34.3,0.6,68.0,31.7,39.7,17.3,1015.1,34.3,2024,3,27,87,8.000000000000004,0,Spring,0,Normal
Gujarat,2024-03-27,37.4,0.0,15.0,19.3,56.7,16.0,1000.8,37.4,2024,3,27,87,37.400000000000006,0,Spring,1,Normal
Haryana,2024-03-27,40.5,0.6,23.1,33.4,47.5,9.1,978.2,40.5,2024,3,27,87,14.100000000000001,0,Spring,2,Low
Himachal Pradesh,2024-03-27,12.6,0.5,51.6,7.6,18.0,25.8,850.0,12.6,2024,3,27,87,10.4,0,Spring,0,Low
Jharkhand,2024-03-27,40.4,1.7,45.6,36.4,45.1,11.0,972.2,40.4,2024,3,27,87,8.700000000000003,0,Spring,2,Low
Karnataka,2024-03-27,28.5,0.0,29.3,23.3,34.7,9.3,931.3,28.5,2024,3,27,87,11.400000000000002,0,Spring,0,Low
Kerala,2024-03-27,38.3,0.0,72.5,35.7,38.9,17.9,1000.2,38.3,2024,3,27,87,3.1999999999999957,0,Spring,1,Normal
Madhya Pradesh,2024-03-27,38.1,0.5,21.5,33.9,44.7,7.1,956.5,38.1,2024,3,27,87,10.800000000000004,0,Spring,1,Low
Maharashtra,2024-03-27,28.7,0.9,22.9,24.8,32.9,21.7,944.8,28.7,2024,3,27,87,8.099999999999998,0,Spring,0,Low
Manipur,2024-03-27,36.8,0.0,49.1,33.0,42.8,12.2,915.7,36.8,2024,3,27,87,9.799999999999997,0,Spring,1,Low
Meghalaya,2024-03-27,19.2,0.0,56.1,8.1,27.9,1.5,860.6,19.2,2024,3,27,87,19.799999999999997,1,Spring,0,Low
Mizoram,2024-03-27,28.8,0.0,56.0,21.6,32.1,15.7,888.4,30.2,2024,3,27,87,10.5,0,Spring,0,Low
Nagaland,2024-03-27,33.9,0.0,60.4,30.0,39.0,9.3,862.3,33.9,2024,3,27,87,9.0,0,Spring,0,Low
Odisha,2024-03-27,39.9,0.0,55.1,32.6,49.2,16.0,996.4,39.9,2024,3,27,87,16.6,0,Spring,1,Low
Punjab,2024-03-27,36.1,1.7,25.9,32.2,39.6,13.7,983.7,36.1,2024,3,27,87,7.399999999999999,0,Spring,1,Low
Rajasthan,2024-03-27,39.4,0.0,15.0,25.8,54.6,12.9,988.0,39.4,2024,3,27,87,28.8,0,Spring,1,Low
Sikkim,2024-03-27,14.6,0.5,60.6,7.8,19.0,26.1,850.0,14.6,2024,3,27,87,11.2,0,Spring,0,Low
Tamil Nadu,2024-03-27,36.3,0.0,81.2,35.6,37.2,23.8,999.5,36.3,2024,3,27,87,1.6000000000000014,0,Spring,1,Low
Telangana,2024-03-27,32.9,1.2,30.0,27.0,39.7,8.0,951.0,32.9,2024,3,27,87,12.700000000000003,0,Spring,0,Low
Tripura,2024-03-27,37.2,0.0,53.8,27.1,47.4,14.5,1014.8,37.2,2024,3,27,87,20.299999999999997,0,Spring,1,Normal
Uttar Pradesh,2024-03-27,38.8,0.0,59.5,36.4,41.2,9.1,993.2,38.8,2024,3,27,87,4.800000000000004,0,Spring,1,Low
